author,commit_amounts,percentage_contribution,average_contribution
xpradev,7,100.0,7.0
xpradev,7,50.0,14.0
xpradev,7,33.33333333333333,21.0
xpradev,7,9.333333333333334,18.75
ZNHAACU,61,81.33333333333333,18.75
zspxaxr,1,1.3333333333333335,18.75
zarbmoh,56,74.66666666666667,18.75
xpradev,7,5.426356589147287,32.25
ZNHAACU,61,47.286821705426355,32.25
zspxaxr,1,0.7751937984496124,32.25
zarbmoh,56,43.41085271317829,32.25
xpradev,7,3.825136612021858,45.75
ZNHAACU,61,33.33333333333333,45.75
zspxaxr,1,0.546448087431694,45.75
zarbmoh,56,30.601092896174865,45.75
xpradev,7,2.9535864978902953,59.25
ZNHAACU,61,25.738396624472575,59.25
zspxaxr,1,0.42194092827004215,59.25
zarbmoh,56,23.628691983122362,59.25
xpradev,7,2.405498281786942,72.75
ZNHAACU,61,20.962199312714777,72.75
zspxaxr,1,0.3436426116838488,72.75
zarbmoh,56,19.243986254295535,72.75
xpradev,7,2.0289855072463765,86.25
ZNHAACU,61,17.681159420289855,86.25
zspxaxr,1,0.2898550724637681,86.25
zarbmoh,56,16.231884057971012,86.25
xpradev,7,1.7543859649122806,99.75
ZNHAACU,61,15.288220551378446,99.75
zspxaxr,1,0.2506265664160401,99.75
zarbmoh,56,14.035087719298245,99.75
xpradev,7,1.545253863134658,113.25
ZNHAACU,61,13.46578366445916,113.25
zspxaxr,1,0.22075055187637968,113.25
zarbmoh,56,12.362030905077264,113.25
xpradev,7,1.3806706114398422,126.75
ZNHAACU,61,12.03155818540434,126.75
zspxaxr,1,0.19723865877712032,126.75
zarbmoh,56,11.045364891518737,126.75
xpradev,7,1.2477718360071302,140.25
ZNHAACU,61,10.87344028520499,140.25
zspxaxr,1,0.17825311942959002,140.25
zarbmoh,56,9.982174688057041,140.25
xpradev,7,1.1382113821138211,153.75
ZNHAACU,61,9.91869918699187,153.75
zspxaxr,1,0.16260162601626016,153.75
zarbmoh,56,9.105691056910569,153.75
xpradev,7,1.046337817638266,167.25
ZNHAACU,61,9.118086696562033,167.25
zspxaxr,1,0.14947683109118087,167.25
zarbmoh,56,8.370702541106128,167.25
xpradev,7,0.9681881051175657,180.75
ZNHAACU,61,8.437067773167358,180.75
zspxaxr,1,0.13831258644536654,180.75
zarbmoh,56,7.745504840940526,180.75
xpradev,7,0.805523590333717,144.83333333333334
ZNHAACU,61,7.019562715765247,144.83333333333334
zspxaxr,1,0.11507479861910241,144.83333333333334
zarbmoh,56,6.444188722669736,144.83333333333334
Anusha Chaikam (EXT),55,6.329113924050633,144.83333333333334
xpradev,78,7.296538821328344,178.16666666666666
ZNHAACU,82,7.670720299345183,178.16666666666666
zspxaxr,1,0.09354536950420954,178.16666666666666
zarbmoh,79,7.390084190832553,178.16666666666666
zsugvip,58,5.425631431244153,178.16666666666666
Anusha Chaikam (EXT),8,0.7483629560336763,178.16666666666666
xpradev,62,5.799812909260991,178.16666666666666
ZNHAACU,77,7.202993451824134,178.16666666666666
zspxaxr,1,0.09354536950420954,178.16666666666666
zarbmoh,56,5.238540692235735,178.16666666666666
Anusha Chaikam (EXT),76,7.109448082319925,178.16666666666666
zsugvip,65,6.080449017773621,178.16666666666666
zsugvip,95,7.818930041152264,202.5
xpradev,7,0.5761316872427984,202.5
ZNHAACU,61,5.020576131687243,202.5
zspxaxr,1,0.0823045267489712,202.5
zarbmoh,56,4.609053497942387,202.5
Anusha Chaikam (EXT),55,4.526748971193416,202.5
zsugvip,126,10.37037037037037,202.5
xpradev,7,0.5143277002204262,226.83333333333334
ZNHAACU,61,4.481998530492285,226.83333333333334
zspxaxr,1,0.07347538574577515,226.83333333333334
zarbmoh,56,4.114621601763409,226.83333333333334
Anusha Chaikam (EXT),55,4.041146216017634,226.83333333333334
zsugvip,126,9.257898603967671,226.83333333333334
xpradev,7,0.49157303370786515,237.33333333333334
ZNHAACU,61,4.283707865168539,237.33333333333334
zspxaxr,1,0.0702247191011236,237.33333333333334
zarbmoh,56,3.932584269662921,237.33333333333334
Anusha Chaikam (EXT),55,3.8623595505617976,237.33333333333334
zsugvip,126,8.129032258064516,258.3333333333333
xpradev,7,0.4516129032258065,258.3333333333333
xpradev,23,1.4838709677419355,258.3333333333333
ZNHAACU,69,4.451612903225807,258.3333333333333
zspxaxr,28,1.806451612903226,258.3333333333333
ZNHAACU,21,1.3548387096774193,258.3333333333333
zspxaxr,8,0.5161290322580645,258.3333333333333
zarbmoh,59,3.8064516129032255,258.3333333333333
zarbmoh,60,3.870967741935484,258.3333333333333
Anusha Chaikam (EXT),43,2.7741935483870965,258.3333333333333
Anusha Chaikam (EXT),44,2.838709677419355,258.3333333333333
zsugvip,230,14.838709677419354,258.3333333333333
zsugvip,20,1.2903225806451613,258.3333333333333
xpradev,7,0.4364089775561097,267.3333333333333
ZNHAACU,61,3.802992518703242,267.3333333333333
zspxaxr,1,0.062344139650872814,267.3333333333333
zarbmoh,56,3.4912718204488775,267.3333333333333
Anusha Chaikam (EXT),55,3.4289276807980054,267.3333333333333
zsugvip,126,7.855361596009976,267.3333333333333
xpradev,7,0.4221954161640531,276.3333333333333
ZNHAACU,61,3.67913148371532,276.3333333333333
zspxaxr,1,0.060313630880579006,276.3333333333333
zarbmoh,56,3.3775633293124248,276.3333333333333
Anusha Chaikam (EXT),55,3.3172496984318456,276.3333333333333
zsugvip,126,7.599517490952954,276.3333333333333
xpradev,7,0.40887850467289716,285.3333333333333
ZNHAACU,61,3.5630841121495322,285.3333333333333
zspxaxr,1,0.05841121495327102,285.3333333333333
zarbmoh,56,3.2710280373831773,285.3333333333333
Anusha Chaikam (EXT),55,3.212616822429906,285.3333333333333
zsugvip,126,7.359813084112149,285.3333333333333
xpradev,7,0.40887850467289716,285.3333333333333
ZNHAACU,61,3.5630841121495322,285.3333333333333
zspxaxr,1,0.05841121495327102,285.3333333333333
zarbmoh,56,3.2710280373831773,285.3333333333333
Anusha Chaikam (EXT),55,3.212616822429906,285.3333333333333
zsugvip,126,7.359813084112149,285.3333333333333
